frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-6.50,-10.30,-6.51,-10.31,10.34,10.38,3.84,3.83,3.80
20.20,-6.48,-10.31,-6.47,-10.30,10.30,10.32,3.82,3.83,3.83
20.40,-6.43,-10.29,-6.41,-10.27,10.26,10.27,3.83,3.85,3.86
20.61,-6.34,-10.22,-6.35,-10.23,10.21,10.20,3.88,3.87,3.88
20.81,-6.27,-10.18,-6.26,-10.18,10.16,10.14,3.90,3.90,3.91
21.02,-6.17,-10.11,-6.17,-10.11,10.10,10.07,3.94,3.93,3.94
21.23,-6.10,-10.05,-6.09,-10.05,10.04,10.00,3.94,3.95,3.95
21.44,-6.00,-9.96,-6.00,-9.97,9.97,9.93,3.97,3.97,3.96
21.66,-5.93,-9.90,-5.92,-9.89,9.89,9.86,3.96,3.97,3.97
21.87,-5.82,-9.79,-5.83,-9.80,9.80,9.78,3.99,3.98,3.97
22.09,-5.74,-9.72,-5.73,-9.71,9.71,9.70,3.98,3.98,3.98
22.31,-5.65,-9.63,-5.64,-9.62,9.62,9.62,3.98,3.98,3.98
22.54,-5.54,-9.52,-5.55,-9.53,9.53,9.53,3.99,3.98,3.98
22.76,-5.46,-9.44,-5.46,-9.43,9.43,9.45,3.98,3.98,3.98
22.99,-5.37,-9.34,-5.36,-9.33,9.34,9.36,3.97,3.98,3.97
23.22,-5.26,-9.23,-5.26,-9.24,9.24,9.26,3.98,3.98,3.97
23.45,-5.16,-9.13,-5.17,-9.14,9.14,9.17,3.98,3.98,3.97
23.69,-5.08,-9.05,-5.07,-9.04,9.05,9.07,3.97,3.98,3.97
23.92,-4.98,-8.95,-4.98,-8.95,8.95,8.97,3.97,3.97,3.97
24.16,-4.88,-8.85,-4.89,-8.86,8.85,8.87,3.98,3.97,3.97
24.40,-4.81,-8.78,-4.79,-8.76,8.76,8.78,3.95,3.97,3.97
24.65,-4.70,-8.66,-4.71,-8.67,8.67,8.68,3.97,3.96,3.96
24.89,-4.62,-8.58,-4.61,-8.58,8.58,8.58,3.96,3.96,3.96
25.14,-4.53,-8.49,-4.52,-8.48,8.49,8.48,3.96,3.97,3.96
25.39,-4.42,-8.38,-4.43,-8.39,8.40,8.39,3.98,3.96,3.96
25.65,-4.36,-8.32,-4.35,-8.30,8.31,8.29,3.95,3.96,3.96
25.91,-4.26,-8.21,-4.26,-8.22,8.22,8.20,3.96,3.96,3.95
26.16,-4.19,-8.14,-4.19,-8.14,8.14,8.12,3.95,3.95,3.95
26.43,-4.11,-8.06,-4.11,-8.06,8.06,8.03,3.95,3.95,3.95
26.69,-4.03,-7.98,-4.03,-7.98,7.98,7.96,3.95,3.95,3.95
26.96,-3.95,-7.90,-3.95,-7.90,7.89,7.88,3.95,3.95,3.95
27.23,-3.87,-7.81,-3.87,-7.81,7.81,7.80,3.94,3.94,3.94
27.50,-3.79,-7.73,-3.79,-7.73,7.73,7.72,3.94,3.94,3.94
27.77,-3.72,-7.65,-3.71,-7.65,7.65,7.65,3.93,3.94,3.93
28.05,-3.64,-7.57,-3.63,-7.56,7.57,7.57,3.93,3.93,3.93
28.33,-3.55,-7.47,-3.56,-7.48,7.48,7.50,3.94,3.93,3.92
28.62,-3.48,-7.40,-3.48,-7.40,7.40,7.42,3.92,3.92,3.92
28.90,-3.41,-7.33,-3.40,-7.32,7.32,7.34,3.91,3.92,3.92
29.19,-3.32,-7.23,-3.32,-7.24,7.24,7.25,3.92,3.91,3.91
29.48,-3.25,-7.16,-3.24,-7.15,7.16,7.17,3.91,3.91,3.91
29.78,-3.17,-7.07,-3.17,-7.07,7.07,7.08,3.90,3.91,3.90
