frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-7.70,-14.70,-7.70,-14.70,14.71,14.88,7.01,7.00,7.00
20.20,-7.67,-14.70,-7.67,-14.70,14.70,14.84,7.03,7.03,7.03
20.40,-7.64,-14.70,-7.63,-14.69,14.69,14.80,7.05,7.06,7.06
20.61,-7.58,-14.66,-7.59,-14.68,14.67,14.76,7.09,7.08,7.08
20.81,-7.55,-14.66,-7.55,-14.66,14.66,14.72,7.11,7.11,7.11
21.02,-7.52,-14.66,-7.51,-14.64,14.64,14.68,7.12,7.13,7.14
21.23,-7.47,-14.62,-7.48,-14.63,14.62,14.64,7.15,7.14,7.15
21.44,-7.44,-14.60,-7.44,-14.59,14.59,14.59,7.15,7.16,7.16
21.66,-7.39,-14.56,-7.40,-14.56,14.56,14.55,7.17,7.17,7.17
21.87,-7.36,-14.53,-7.36,-14.53,14.53,14.51,7.17,7.17,7.17
22.09,-7.32,-14.50,-7.32,-14.49,14.49,14.47,7.17,7.18,7.18
22.31,-7.28,-14.46,-7.28,-14.46,14.46,14.43,7.18,7.17,7.18
22.54,-7.25,-14.43,-7.25,-14.42,14.42,14.39,7.17,7.17,7.18
22.76,-7.21,-14.38,-7.21,-14.38,14.38,14.35,7.17,7.17,7.18
22.99,-7.17,-14.33,-7.17,-14.34,14.35,14.31,7.18,7.17,7.16
23.22,-7.14,-14.30,-7.14,-14.31,14.31,14.27,7.17,7.17,7.16
23.45,-7.11,-14.27,-7.11,-14.27,14.27,14.23,7.16,7.16,7.16
23.69,-7.08,-14.24,-7.08,-14.24,14.24,14.20,7.16,7.16,7.16
23.92,-7.04,-14.20,-7.04,-14.20,14.20,14.16,7.16,7.16,7.16
24.16,-7.00,-14.16,-7.01,-14.17,14.17,14.12,7.17,7.16,7.16
24.40,-6.98,-14.14,-6.97,-14.13,14.13,14.08,7.15,7.16,7.16
24.65,-6.94,-14.09,-6.94,-14.10,14.10,14.04,7.16,7.16,7.15
24.89,-6.91,-14.06,-6.91,-14.06,14.06,14.01,7.15,7.15,7.15
25.14,-6.88,-14.03,-6.88,-14.03,14.03,13.97,7.15,7.15,7.15
25.39,-6.85,-14.00,-6.85,-14.00,14.00,13.93,7.15,7.15,7.15
25.65,-6.82,-13.97,-6.82,-13.97,13.96,13.89,7.14,7.14,7.15
25.91,-6.79,-13.93,-6.79,-13.93,13.93,13.86,7.14,7.14,7.14
26.16,-6.76,-13.90,-6.76,-13.90,13.90,13.82,7.14,7.14,7.14
26.43,-6.73,-13.87,-6.73,-13.87,13.87,13.79,7.14,7.14,7.14
26.69,-6.70,-13.84,-6.70,-13.84,13.83,13.75,7.13,7.13,7.14
26.96,-6.67,-13.81,-6.67,-13.80,13.80,13.71,7.13,7.13,7.13
27.23,-6.64,-13.76,-6.64,-13.77,13.77,13.68,7.13,7.13,7.12
27.50,-6.61,-13.73,-6.61,-13.73,13.73,13.64,7.12,7.12,7.12
27.77,-6.59,-13.70,-6.58,-13.70,13.70,13.61,7.11,7.12,7.11
28.05,-6.55,-13.66,-6.55,-13.66,13.66,13.58,7.11,7.11,7.11
28.33,-6.52,-13.62,-6.52,-13.63,13.63,13.54,7.11,7.10,7.10
28.62,-6.50,-13.60,-6.49,-13.59,13.59,13.51,7.09,7.10,7.10
28.90,-6.46,-13.56,-6.46,-13.56,13.56,13.47,7.10,7.09,7.10
29.19,-6.43,-13.52,-6.43,-13.52,13.52,13.44,7.09,7.09,7.09
29.48,-6.41,-13.50,-6.40,-13.49,13.49,13.41,7.08,7.09,7.09
29.78,-6.37,-13.45,-6.38,-13.46,13.46,13.38,7.09,7.08,7.08
30.08,-6.36,-13.43,-6.35,-13.42,13.42,13.34,7.06,7.07,7.07
30.38,-6.33,-13.39,-6.32,-13.39,13.39,13.31,7.06,7.06,7.06
30.68,-6.28,-13.34,-6.30,-13.35,13.35,13.28,7.07,7.06,7.06
30.99,-6.27,-13.32,-6.26,-13.31,13.32,13.25,7.05,7.05,7.05
31.30,-6.24,-13.28,-6.23,-13.28,13.28,13.22,7.04,7.04,7.04
31.61,-6.20,-13.24,-6.21,-13.24,13.24,13.18,7.04,7.03,7.04
31.93,-6.18,-13.21,-6.18,-13.20,13.20,13.15,7.02,7.03,7.03
32.24,-6.15,-13.16,-6.15,-13.16,13.16,13.12,7.01,7.02,7.01
32.57,-6.11,-13.12,-6.12,-13.13,13.13,13.09,7.02,7.01,7.01
32.89,-6.09,-13.09,-6.09,-13.09,13.09,13.06,7.00,7.00,7.00
33.22,-6.06,-13.05,-6.05,-13.05,13.05,13.03,6.99,7.00,6.99
33.55,-6.02,-13.01,-6.03,-13.01,13.01,13.00,6.99,6.98,6.99
