frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-7.70,-12.54,-7.70,-12.55,12.55,12.44,4.85,4.85,4.84
20.20,-7.67,-12.49,-7.67,-12.49,12.49,12.44,4.82,4.82,4.82
20.40,-7.64,-12.44,-7.63,-12.43,12.43,12.44,4.79,4.80,4.80
20.61,-7.58,-12.36,-7.59,-12.37,12.37,12.40,4.79,4.77,4.78
20.81,-7.55,-12.30,-7.55,-12.31,12.31,12.37,4.76,4.76,4.75
21.02,-7.52,-12.25,-7.51,-12.25,12.25,12.31,4.73,4.73,4.73
21.23,-7.47,-12.19,-7.48,-12.19,12.19,12.25,4.72,4.71,4.72
21.44,-7.44,-12.13,-7.44,-12.13,12.13,12.17,4.69,4.69,4.69
21.66,-7.39,-12.06,-7.40,-12.06,12.07,12.10,4.67,4.67,4.67
21.87,-7.36,-12.00,-7.36,-12.00,12.01,12.02,4.65,4.65,4.64
22.09,-7.32,-11.95,-7.32,-11.95,11.95,11.95,4.63,4.63,4.63
22.31,-7.28,-11.89,-7.28,-11.89,11.89,11.87,4.61,4.60,4.61
22.54,-7.25,-11.83,-7.25,-11.83,11.83,11.80,4.58,4.59,4.58
22.76,-7.21,-11.77,-7.21,-11.77,11.78,11.74,4.57,4.57,4.56
22.99,-7.17,-11.72,-7.17,-11.72,11.72,11.67,4.55,4.55,4.55
23.22,-7.14,-11.67,-7.14,-11.67,11.67,11.61,4.53,4.53,4.53
23.45,-7.11,-11.62,-7.11,-11.62,11.61,11.56,4.50,4.50,4.51
23.69,-7.08,-11.56,-7.08,-11.56,11.56,11.50,4.48,4.48,4.48
23.92,-7.04,-11.50,-7.04,-11.51,11.51,11.45,4.47,4.46,4.47
24.16,-7.00,-11.45,-7.01,-11.45,11.45,11.41,4.45,4.45,4.45
24.40,-6.98,-11.41,-6.97,-11.40,11.40,11.36,4.42,4.43,4.43
24.65,-6.94,-11.35,-6.94,-11.35,11.35,11.32,4.41,4.41,4.41
24.89,-6.91,-11.30,-6.91,-11.30,11.31,11.27,4.40,4.40,4.39
25.14,-6.88,-11.26,-6.88,-11.26,11.26,11.23,4.38,4.38,4.38
25.39,-6.85,-11.22,-6.85,-11.22,11.22,11.19,4.37,4.37,4.37
25.65,-6.82,-11.18,-6.82,-11.18,11.18,11.15,4.36,4.36,4.36
25.91,-6.79,-11.14,-6.79,-11.14,11.14,11.11,4.35,4.35,4.35
26.16,-6.76,-11.10,-6.76,-11.10,11.11,11.07,4.35,4.35,4.34
26.43,-6.73,-11.07,-6.73,-11.07,11.07,11.03,4.33,4.34,4.34
26.69,-6.70,-11.03,-6.70,-11.03,11.02,10.99,4.32,4.32,4.33
26.96,-6.67,-10.99,-6.67,-10.98,10.98,10.95,4.31,4.31,4.32
27.23,-6.64,-10.93,-6.64,-10.93,10.93,10.91,4.29,4.29,4.29
27.50,-6.61,-10.87,-6.61,-10.88,10.87,10.87,4.26,4.26,4.26
27.77,-6.59,-10.83,-6.58,-10.82,10.82,10.83,4.23,4.24,4.24
28.05,-6.55,-10.76,-6.55,-10.76,10.76,10.79,4.21,4.21,4.21
28.33,-6.52,-10.70,-6.52,-10.70,10.70,10.74,4.18,4.18,4.18
28.62,-6.50,-10.65,-6.49,-10.64,10.65,10.70,4.15,4.16,4.15
28.90,-6.46,-10.58,-6.46,-10.59,10.60,10.65,4.14,4.13,4.12
29.19,-6.43,-10.54,-6.43,-10.54,10.55,10.61,4.12,4.11,4.11
29.48,-6.41,-10.50,-6.40,-10.49,10.50,10.56,4.09,4.10,4.09
29.78,-6.37,-10.45,-6.38,-10.46,10.45,10.51,4.08,4.07,4.08
30.08,-6.36,-10.42,-6.35,-10.41,10.41,10.45,4.05,4.06,4.06
30.38,-6.33,-10.37,-6.32,-10.37,10.36,10.40,4.03,4.04,4.04
30.68,-6.28,-10.30,-6.30,-10.32,10.31,10.35,4.03,4.02,4.02
30.99,-6.27,-10.27,-6.26,-10.26,10.27,10.29,3.99,4.00,4.00
31.30,-6.24,-10.22,-6.23,-10.21,10.21,10.23,3.97,3.98,3.98
31.61,-6.20,-10.15,-6.21,-10.16,10.15,10.17,3.95,3.94,3.95
31.93,-6.18,-10.10,-6.18,-10.09,10.09,10.11,3.91,3.92,3.92
32.24,-6.15,-10.04,-6.15,-10.03,10.03,10.05,3.88,3.88,3.89
32.57,-6.11,-9.96,-6.12,-9.97,9.96,9.98,3.85,3.85,3.85
32.89,-6.09,-9.90,-6.09,-9.90,9.90,9.92,3.81,3.81,3.81
33.22,-6.06,-9.83,-6.05,-9.83,9.83,9.85,3.77,3.78,3.77
33.55,-6.02,-9.75,-6.03,-9.77,9.77,9.79,3.75,3.74,3.73
33.89,-6.00,-9.70,-6.00,-9.70,9.70,9.72,3.70,3.70,3.70
34.23,-5.98,-9.65,-5.97,-9.64,9.64,9.65,3.66,3.67,3.67
34.57,-5.94,-9.58,-5.95,-9.58,9.58,9.59,3.65,3.64,3.64
34.92,-5.91,-9.52,-5.91,-9.52,9.53,9.53,3.62,3.62,3.61
35.27,-5.89,-9.49,-5.88,-9.48,9.48,9.47,3.59,3.60,3.60
35.62,-5.85,-9.43,-5.86,-9.44,9.44,9.41,3.59,3.58,3.58
35.97,-5.84,-9.41,-5.83,-9.40,9.39,9.35,3.56,3.56,3.57
36.33,-5.81,-9.37,-5.80,-9.36,9.36,9.30,3.55,3.55,3.56
36.70,-5.76,-9.30,-5.78,-9.32,9.32,9.25,3.56,3.54,3.54
37.06,-5.76,-9.29,-5.75,-9.28,9.28,9.21,3.52,3.53,3.53
37.43,-5.72,-9.24,-5.73,-9.24,9.25,9.17,3.53,3.52,3.52
37.81,-5.71,-9.22,-5.71,-9.22,9.21,9.13,3.50,3.51,3.51
38.19,-5.68,-9.18,-5.68,-9.18,9.18,9.10,3.50,3.50,3.50
38.57,-5.66,-9.15,-5.66,-9.15,9.15,9.07,3.49,3.49,3.49
38.95,-5.63,-9.11,-5.64,-9.11,9.11,9.05,3.49,3.48,3.48
39.34,-5.62,-9.09,-5.61,-9.08,9.08,9.03,3.46,3.47,3.47
39.74,-5.59,-9.05,-5.59,-9.05,9.05,9.01,3.46,3.46,3.46
40.14,-5.57,-9.02,-5.58,-9.02,9.02,9.00,3.45,3.44,3.45
40.54,-5.55,-8.99,-5.55,-8.99,8.99,8.99,3.43,3.43,3.44
40.94,-5.55,-8.98,-5.53,-8.95,8.95,8.98,3.40,3.42,3.43
41.35,-5.50,-8.90,-5.52,-8.92,8.92,8.97,3.42,3.40,3.40
41.76,-5.50,-8.88,-5.50,-8.89,8.89,8.95,3.39,3.38,3.38
