frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-7.70,-11.11,-7.70,-11.12,11.12,10.96,3.42,3.42,3.41
20.20,-7.67,-11.07,-7.67,-11.06,11.06,10.96,3.39,3.39,3.40
20.40,-7.64,-11.01,-7.63,-11.00,11.00,10.96,3.36,3.37,3.37
20.61,-7.58,-10.93,-7.59,-10.94,10.94,10.93,3.36,3.35,3.35
20.81,-7.55,-10.87,-7.55,-10.88,10.88,10.91,3.33,3.33,3.32
21.02,-7.52,-10.83,-7.51,-10.82,10.82,10.86,3.30,3.31,3.31
21.23,-7.47,-10.76,-7.48,-10.76,10.76,10.81,3.29,3.28,3.29
21.44,-7.44,-10.70,-7.44,-10.70,10.70,10.74,3.26,3.26,3.26
21.66,-7.39,-10.63,-7.40,-10.64,10.64,10.67,3.25,3.24,3.24
21.87,-7.36,-10.58,-7.36,-10.58,10.58,10.60,3.22,3.22,3.22
22.09,-7.32,-10.52,-7.32,-10.52,10.52,10.53,3.20,3.20,3.20
22.31,-7.28,-10.46,-7.28,-10.46,10.46,10.46,3.18,3.18,3.18
22.54,-7.25,-10.40,-7.25,-10.40,10.40,10.39,3.15,3.16,3.15
22.76,-7.21,-10.35,-7.21,-10.35,10.35,10.32,3.14,3.14,3.14
22.99,-7.17,-10.29,-7.17,-10.29,10.29,10.26,3.12,3.12,3.12
23.22,-7.14,-10.24,-7.14,-10.24,10.24,10.19,3.10,3.10,3.10
23.45,-7.11,-10.19,-7.11,-10.19,10.19,10.14,3.08,3.08,3.08
23.69,-7.08,-10.14,-7.08,-10.14,10.13,10.08,3.05,3.06,3.06
23.92,-7.04,-10.08,-7.04,-10.08,10.08,10.03,3.04,3.04,3.04
24.16,-7.00,-10.02,-7.01,-10.03,10.03,9.98,3.03,3.02,3.02
24.40,-6.98,-9.98,-6.97,-9.98,9.98,9.93,3.00,3.01,3.00
24.65,-6.94,-9.93,-6.94,-9.93,9.93,9.88,2.99,2.99,2.99
24.89,-6.91,-9.88,-6.91,-9.88,9.88,9.83,2.97,2.97,2.97
25.14,-6.88,-9.83,-6.88,-9.83,9.84,9.79,2.96,2.96,2.95
25.39,-6.85,-9.79,-6.85,-9.79,9.80,9.74,2.95,2.95,2.94
25.65,-6.82,-9.76,-6.82,-9.76,9.76,9.70,2.94,2.94,2.94
25.91,-6.79,-9.72,-6.79,-9.72,9.72,9.66,2.93,2.93,2.93
26.16,-6.76,-9.68,-6.76,-9.68,9.68,9.62,2.92,2.92,2.92
26.43,-6.73,-9.64,-6.73,-9.65,9.64,9.58,2.91,2.91,2.91
26.69,-6.70,-9.61,-6.70,-9.61,9.60,9.54,2.90,2.90,2.91
26.96,-6.67,-9.57,-6.67,-9.56,9.55,9.50,2.88,2.89,2.90
27.23,-6.64,-9.51,-6.64,-9.51,9.51,9.46,2.87,2.86,2.87
27.50,-6.61,-9.45,-6.61,-9.46,9.45,9.42,2.84,2.84,2.84
27.77,-6.59,-9.40,-6.58,-9.40,9.40,9.37,2.81,2.81,2.81
28.05,-6.55,-9.34,-6.55,-9.34,9.34,9.33,2.79,2.79,2.79
28.33,-6.52,-9.28,-6.52,-9.28,9.28,9.29,2.76,2.76,2.76
28.62,-6.50,-9.23,-6.49,-9.22,9.23,9.25,2.73,2.74,2.73
28.90,-6.46,-9.16,-6.46,-9.17,9.18,9.21,2.72,2.71,2.70
29.19,-6.43,-9.12,-6.43,-9.12,9.13,9.17,2.70,2.69,2.69
29.48,-6.41,-9.08,-6.40,-9.07,9.08,9.12,2.67,2.68,2.67
29.78,-6.37,-9.03,-6.38,-9.04,9.03,9.08,2.66,2.65,2.66
30.08,-6.36,-9.00,-6.35,-8.99,8.99,9.04,2.63,2.64,2.64
30.38,-6.33,-8.95,-6.32,-8.95,8.94,8.99,2.61,2.62,2.62
30.68,-6.28,-8.89,-6.30,-8.90,8.90,8.94,2.62,2.60,2.61
30.99,-6.27,-8.86,-6.26,-8.85,8.85,8.90,2.58,2.58,2.59
31.30,-6.24,-8.80,-6.23,-8.79,8.79,8.85,2.55,2.56,2.56
