frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,6.94,2.34,6.94,2.34,-2.37,-2.32,4.57,4.57,4.60
20.20,6.92,2.32,6.92,2.32,-2.33,-2.29,4.59,4.59,4.60
20.40,6.92,2.31,6.92,2.31,-2.29,-2.26,4.63,4.63,4.61
20.61,6.92,2.26,6.92,2.26,-2.25,-2.22,4.67,4.67,4.66
20.81,6.92,2.20,6.92,2.20,-2.20,-2.19,4.72,4.72,4.72
21.02,6.92,2.16,6.92,2.16,-2.16,-2.15,4.76,4.76,4.76
21.23,6.92,2.12,6.92,2.12,-2.11,-2.11,4.81,4.81,4.80
21.44,6.92,2.06,6.92,2.06,-2.06,-2.07,4.86,4.86,4.86
21.66,6.92,2.02,6.92,2.02,-2.01,-2.03,4.91,4.91,4.90
21.87,6.90,1.96,6.90,1.96,-1.95,-1.99,4.95,4.95,4.94
22.09,6.87,1.87,6.87,1.87,-1.90,-1.94,4.97,4.97,5.00
22.31,6.87,1.83,6.87,1.83,-1.84,-1.90,5.02,5.02,5.04
22.54,6.87,1.79,6.87,1.79,-1.79,-1.85,5.08,5.08,5.08
22.76,6.87,1.75,6.87,1.75,-1.74,-1.80,5.13,5.13,5.12
22.99,6.87,1.71,6.87,1.71,-1.70,-1.75,5.17,5.17,5.16
23.22,6.84,1.64,6.84,1.64,-1.66,-1.69,5.18,5.18,5.20
23.45,6.83,1.60,6.83,1.60,-1.62,-1.64,5.21,5.21,5.23
23.69,6.83,1.58,6.83,1.58,-1.58,-1.59,5.25,5.25,5.25
23.92,6.83,1.54,6.83,1.54,-1.54,-1.54,5.29,5.29,5.29
24.16,6.83,1.53,6.83,1.53,-1.51,-1.49,5.32,5.32,5.30
24.40,6.83,1.48,6.83,1.48,-1.47,-1.44,5.35,5.35,5.35
24.65,6.79,1.43,6.79,1.43,-1.44,-1.40,5.35,5.35,5.36
24.89,6.78,1.39,6.78,1.39,-1.41,-1.36,5.37,5.37,5.39
25.14,6.78,1.37,6.78,1.37,-1.38,-1.32,5.40,5.40,5.41
25.39,6.78,1.34,6.78,1.34,-1.34,-1.29,5.44,5.44,5.44
25.65,6.78,1.31,6.78,1.31,-1.31,-1.27,5.47,5.47,5.47
25.91,6.78,1.29,6.78,1.29,-1.27,-1.25,5.50,5.50,5.49
26.16,6.76,1.24,6.76,1.24,-1.24,-1.23,5.52,5.52,5.52
26.43,6.73,1.20,6.73,1.20,-1.21,-1.21,5.52,5.52,5.53
26.69,6.73,1.16,6.73,1.16,-1.17,-1.20,5.56,5.56,5.57
26.96,6.73,1.15,6.73,1.15,-1.14,-1.19,5.59,5.59,5.58
27.23,6.73,1.10,6.73,1.10,-1.11,-1.17,5.62,5.62,5.63
27.50,6.70,1.07,6.70,1.07,-1.08,-1.15,5.62,5.62,5.63
27.77,6.69,1.03,6.69,1.03,-1.05,-1.13,5.64,5.64,5.66
28.05,6.69,1.02,6.69,1.02,-1.02,-1.09,5.67,5.67,5.67
28.33,6.69,1.02,6.69,1.02,-0.99,-1.04,5.69,5.69,5.67
28.62,6.69,0.97,6.69,0.97,-0.97,-0.98,5.72,5.72,5.72
28.90,6.64,0.92,6.64,0.92,-0.94,-0.89,5.70,5.70,5.72
29.19,6.64,0.91,6.64,0.91,-0.91,-0.80,5.73,5.73,5.73
29.48,6.64,0.87,6.64,0.87,-0.88,-0.77,5.76,5.76,5.77
29.78,6.64,0.87,6.64,0.87,-0.85,-0.76,5.79,5.79,5.77
30.08,6.59,0.80,6.59,0.80,-0.82,-0.80,5.77,5.77,5.79
30.38,6.59,0.78,6.59,0.78,-0.79,-0.83,5.80,5.80,5.81
30.68,6.59,0.78,6.59,0.78,-0.76,-0.82,5.83,5.83,5.81
30.99,6.55,0.72,6.55,0.72,-0.73,-0.80,5.82,5.82,5.83
31.30,6.55,0.69,6.55,0.69,-0.70,-0.75,5.85,5.85,5.86
31.61,6.55,0.69,6.55,0.69,-0.67,-0.68,5.88,5.88,5.86
31.93,6.53,0.62,6.53,0.62,-0.64,-0.59,5.89,5.89,5.91
32.24,6.50,0.59,6.50,0.59,-0.61,-0.51,5.89,5.89,5.91
32.57,6.50,0.59,6.50,0.59,-0.57,-0.49,5.93,5.93,5.91
32.89,6.50,0.55,6.50,0.55,-0.54,-0.48,5.96,5.96,5.95
33.22,6.45,0.50,6.45,0.50,-0.51,-0.49,5.94,5.94,5.95
33.55,6.45,0.45,6.45,0.45,-0.47,-0.50,5.98,5.98,6.00
33.89,6.44,0.44,6.44,0.44,-0.44,-0.48,6.00,6.00,6.00
34.23,6.41,0.41,6.41,0.41,-0.40,-0.45,6.01,6.01,6.00
34.57,6.41,0.36,6.41,0.36,-0.37,-0.41,6.04,6.04,6.05
34.92,6.39,0.34,6.39,0.34,-0.34,-0.37,6.05,6.05,6.05
35.27,6.36,0.31,6.36,0.31,-0.31,-0.33,6.05,6.05,6.05
35.62,6.36,0.27,6.36,0.27,-0.28,-0.28,6.08,6.08,6.09
35.97,6.34,0.25,6.34,0.25,-0.26,-0.24,6.08,6.08,6.09
36.33,6.31,0.22,6.31,0.22,-0.23,-0.20,6.08,6.08,6.09
36.70,6.31,0.22,6.31,0.22,-0.20,-0.17,6.11,6.11,6.09
37.06,6.28,0.18,6.28,0.18,-0.18,-0.15,6.10,6.10,6.10
37.43,6.27,0.13,6.27,0.13,-0.15,-0.16,6.12,6.12,6.14
37.81,6.27,0.13,6.27,0.13,-0.13,-0.16,6.14,6.14,6.14
38.19,6.22,0.08,6.22,0.08,-0.10,-0.14,6.12,6.12,6.14
38.57,6.22,0.08,6.22,0.08,-0.08,-0.10,6.14,6.14,6.14
38.95,6.19,0.05,6.19,0.05,-0.05,-0.04,6.14,6.14,6.14
39.34,6.17,0.03,6.17,0.03,-0.02,0.01,6.15,6.15,6.14
39.74,6.17,0.01,6.17,0.01,0.01,0.04,6.18,6.18,6.16
40.14,6.13,-0.06,6.13,-0.06,0.04,0.06,6.17,6.17,6.19
40.54,6.13,-0.06,6.13,-0.06,0.06,0.08,6.19,6.19,6.19
40.94,6.08,-0.11,6.08,-0.11,0.08,0.09,6.16,6.16,6.19
41.35,6.08,-0.11,6.08,-0.11,0.10,0.10,6.18,6.18,6.19
41.76,6.06,-0.13,6.06,-0.13,0.12,0.11,6.18,6.18,6.19
42.18,6.03,-0.16,6.03,-0.16,0.13,0.12,6.16,6.16,6.19
42.60,6.03,-0.13,6.03,-0.13,0.15,0.13,6.18,6.18,6.16
43.03,5.99,-0.15,5.99,-0.15,0.16,0.15,6.15,6.15,6.14
43.46,5.99,-0.15,5.99,-0.15,0.17,0.17,6.16,6.16,6.14
43.90,5.94,-0.20,5.94,-0.20,0.19,0.19,6.13,6.13,6.14
44.33,5.94,-0.20,5.94,-0.20,0.21,0.22,6.15,6.15,6.14
44.78,5.90,-0.24,5.90,-0.24,0.22,0.25,6.12,6.12,6.14
45.23,5.89,-0.25,5.89,-0.25,0.24,0.27,6.13,6.13,6.14
45.68,5.85,-0.29,5.85,-0.29,0.26,0.28,6.11,6.11,6.14
46.13,5.85,-0.29,5.85,-0.29,0.28,0.29,6.13,6.13,6.14
46.60,5.80,-0.29,5.80,-0.29,0.30,0.29,6.10,6.10,6.09
47.06,5.80,-0.29,5.80,-0.29,0.31,0.30,6.11,6.11,6.09
