frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,6.94,-4.36,6.94,-4.36,4.37,4.34,11.31,11.31,11.29
20.20,6.92,-4.36,6.92,-4.36,4.36,4.33,11.27,11.27,11.27
20.40,6.92,-4.36,6.92,-4.36,4.34,4.32,11.26,11.26,11.27
20.61,6.92,-4.36,6.92,-4.36,4.33,4.31,11.25,11.25,11.27
20.81,6.92,-4.31,6.92,-4.31,4.32,4.30,11.24,11.24,11.22
21.02,6.92,-4.31,6.92,-4.31,4.30,4.29,11.22,11.22,11.22
21.23,6.92,-4.28,6.92,-4.28,4.29,4.28,11.21,11.21,11.19
21.44,6.92,-4.27,6.92,-4.27,4.28,4.27,11.20,11.20,11.18
21.66,6.92,-4.26,6.92,-4.26,4.26,4.26,11.18,11.18,11.18
21.87,6.90,-4.24,6.90,-4.24,4.25,4.24,11.15,11.15,11.13
22.09,6.87,-4.27,6.87,-4.27,4.23,4.23,11.10,11.10,11.13
22.31,6.87,-4.23,6.87,-4.23,4.22,4.22,11.09,11.09,11.09
22.54,6.87,-4.23,6.87,-4.23,4.21,4.21,11.08,11.08,11.09
22.76,6.87,-4.18,6.87,-4.18,4.20,4.19,11.07,11.07,11.04
22.99,6.87,-4.18,6.87,-4.18,4.19,4.18,11.06,11.06,11.04
23.22,6.84,-4.18,6.84,-4.18,4.17,4.17,11.01,11.01,11.01
23.45,6.83,-4.17,6.83,-4.17,4.16,4.15,10.98,10.98,10.99
23.69,6.83,-4.15,6.83,-4.15,4.14,4.14,10.97,10.97,10.98
23.92,6.83,-4.13,6.83,-4.13,4.13,4.13,10.96,10.96,10.95
24.16,6.83,-4.12,6.83,-4.12,4.12,4.11,10.94,10.94,10.94
24.40,6.83,-4.08,6.83,-4.08,4.10,4.10,10.93,10.93,10.90
24.65,6.79,-4.10,6.79,-4.10,4.08,4.08,10.87,10.87,10.89
24.89,6.78,-4.08,6.78,-4.08,4.07,4.07,10.85,10.85,10.85
25.14,6.78,-4.07,6.78,-4.07,4.05,4.05,10.83,10.83,10.84
25.39,6.78,-4.04,6.78,-4.04,4.03,4.04,10.81,10.81,10.81
25.65,6.78,-4.01,6.78,-4.01,4.02,4.02,10.80,10.80,10.79
25.91,6.78,-3.99,6.78,-3.99,4.00,4.01,10.78,10.78,10.77
26.16,6.76,-3.97,6.76,-3.97,3.98,3.99,10.74,10.74,10.72
26.43,6.73,-3.99,6.73,-3.99,3.97,3.97,10.70,10.70,10.72
26.69,6.73,-3.96,6.73,-3.96,3.95,3.96,10.68,10.68,10.68
26.96,6.73,-3.95,6.73,-3.95,3.93,3.94,10.66,10.66,10.68
27.23,6.73,-3.90,6.73,-3.90,3.92,3.92,10.65,10.65,10.63
27.50,6.70,-3.92,6.70,-3.92,3.90,3.91,10.60,10.60,10.61
27.77,6.69,-3.89,6.69,-3.89,3.88,3.89,10.57,10.57,10.57
28.05,6.69,-3.85,6.69,-3.85,3.86,3.87,10.55,10.55,10.53
28.33,6.69,-3.84,6.69,-3.84,3.84,3.85,10.53,10.53,10.52
28.62,6.69,-3.80,6.69,-3.80,3.82,3.83,10.51,10.51,10.49
28.90,6.64,-3.82,6.64,-3.82,3.80,3.82,10.44,10.44,10.45
29.19,6.64,-3.79,6.64,-3.79,3.78,3.80,10.42,10.42,10.42
29.48,6.64,-3.76,6.64,-3.76,3.76,3.78,10.40,10.40,10.39
29.78,6.64,-3.73,6.64,-3.73,3.74,3.76,10.38,10.38,10.37
30.08,6.59,-3.75,6.59,-3.75,3.73,3.74,10.32,10.32,10.34
30.38,6.59,-3.71,6.59,-3.71,3.71,3.72,10.30,10.30,10.30
30.68,6.59,-3.67,6.59,-3.67,3.69,3.70,10.28,10.28,10.25
30.99,6.55,-3.70,6.55,-3.70,3.67,3.68,10.22,10.22,10.25
31.30,6.55,-3.66,6.55,-3.66,3.65,3.66,10.20,10.20,10.21
31.61,6.55,-3.61,6.55,-3.61,3.63,3.63,10.17,10.17,10.16
31.93,6.53,-3.60,6.53,-3.60,3.60,3.61,10.13,10.13,10.13
32.24,6.50,-3.60,6.50,-3.60,3.58,3.59,10.08,10.08,10.09
32.57,6.50,-3.57,6.50,-3.57,3.56,3.57,10.06,10.06,10.07
32.89,6.50,-3.52,6.50,-3.52,3.54,3.55,10.04,10.04,10.01
33.22,6.45,-3.53,6.45,-3.53,3.52,3.52,9.96,9.96,9.97
33.55,6.45,-3.50,6.45,-3.50,3.49,3.50,9.94,9.94,9.94
33.89,6.44,-3.47,6.44,-3.47,3.47,3.48,9.91,9.91,9.90
34.23,6.41,-3.46,6.41,-3.46,3.45,3.45,9.86,9.86,9.87
34.57,6.41,-3.43,6.41,-3.43,3.42,3.43,9.83,9.83,9.83
34.92,6.39,-3.39,6.39,-3.39,3.40,3.40,9.79,9.79,9.78
35.27,6.36,-3.39,6.36,-3.39,3.38,3.38,9.74,9.74,9.75
35.62,6.36,-3.36,6.36,-3.36,3.35,3.35,9.71,9.71,9.72
35.97,6.34,-3.32,6.34,-3.32,3.33,3.33,9.66,9.66,9.65
36.33,6.31,-3.32,6.31,-3.32,3.30,3.30,9.61,9.61,9.62
36.70,6.31,-3.27,6.31,-3.27,3.27,3.28,9.58,9.58,9.58
37.06,6.28,-3.26,6.28,-3.26,3.25,3.25,9.53,9.53,9.53
37.43,6.27,-3.22,6.27,-3.22,3.22,3.22,9.49,9.49,9.48
37.81,6.27,-3.17,6.27,-3.17,3.19,3.20,9.46,9.46,9.43
38.19,6.22,-3.19,6.22,-3.19,3.16,3.17,9.38,9.38,9.41
38.57,6.22,-3.13,6.22,-3.13,3.13,3.14,9.35,9.35,9.35
38.95,6.19,-3.11,6.19,-3.11,3.11,3.12,9.29,9.29,9.29
39.34,6.17,-3.10,6.17,-3.10,3.08,3.09,9.25,9.25,9.26
39.74,6.17,-3.04,6.17,-3.04,3.05,3.06,9.22,9.22,9.21
40.14,6.13,-3.03,6.13,-3.03,3.03,3.03,9.15,9.15,9.16
40.54,6.13,-2.99,6.13,-2.99,3.00,3.00,9.13,9.13,9.12
40.94,6.08,-2.99,6.08,-2.99,2.97,2.97,9.05,9.05,9.06
41.35,6.08,-2.94,6.08,-2.94,2.94,2.94,9.02,9.02,9.01
41.76,6.06,-2.92,6.06,-2.92,2.91,2.91,8.97,8.97,8.97
42.18,6.03,-2.90,6.03,-2.90,2.89,2.88,8.91,8.91,8.92
42.60,6.03,-2.85,6.03,-2.85,2.86,2.85,8.89,8.89,8.87
43.03,5.99,-2.84,5.99,-2.84,2.83,2.82,8.82,8.82,8.82
43.46,5.99,-2.78,5.99,-2.78,2.79,2.79,8.78,8.78,8.76
