frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-4.31,-5.79,-4.31,-5.78,5.79,5.79,1.48,1.48,1.48
20.20,-4.28,-5.79,-4.29,-5.80,5.80,5.80,1.52,1.51,1.51
20.40,-4.28,-5.82,-4.27,-5.80,5.80,5.81,1.52,1.53,1.54
20.61,-4.24,-5.80,-4.25,-5.81,5.80,5.81,1.56,1.56,1.55
20.81,-4.21,-5.80,-4.21,-5.80,5.80,5.80,1.58,1.58,1.59
21.02,-4.18,-5.80,-4.18,-5.79,5.79,5.79,1.61,1.61,1.62
21.23,-4.14,-5.77,-4.15,-5.78,5.78,5.77,1.63,1.63,1.63
21.44,-4.12,-5.76,-4.12,-5.76,5.76,5.75,1.64,1.64,1.64
21.66,-4.10,-5.75,-4.09,-5.74,5.74,5.73,1.63,1.64,1.65
21.87,-4.06,-5.71,-4.07,-5.72,5.71,5.71,1.65,1.65,1.65
22.09,-4.03,-5.69,-4.03,-5.69,5.68,5.68,1.65,1.65,1.66
22.31,-4.00,-5.66,-4.00,-5.65,5.65,5.65,1.65,1.65,1.66
22.54,-3.96,-5.62,-3.97,-5.62,5.62,5.62,1.66,1.65,1.66
22.76,-3.93,-5.59,-3.93,-5.58,5.59,5.59,1.65,1.65,1.66
22.99,-3.90,-5.55,-3.90,-5.55,5.55,5.56,1.65,1.66,1.65
23.22,-3.86,-5.51,-3.87,-5.52,5.52,5.52,1.66,1.65,1.65
23.45,-3.84,-5.49,-3.84,-5.48,5.49,5.49,1.65,1.65,1.65
23.69,-3.82,-5.47,-3.82,-5.46,5.46,5.46,1.64,1.65,1.65
23.92,-3.78,-5.43,-3.79,-5.44,5.43,5.43,1.65,1.64,1.65
24.16,-3.77,-5.42,-3.77,-5.41,5.41,5.40,1.63,1.64,1.65
24.40,-3.73,-5.38,-3.74,-5.38,5.38,5.38,1.65,1.64,1.65
24.65,-3.73,-5.37,-3.72,-5.36,5.36,5.35,1.62,1.64,1.64
24.89,-3.68,-5.32,-3.69,-5.33,5.33,5.33,1.65,1.64,1.64
25.14,-3.67,-5.31,-3.67,-5.30,5.30,5.30,1.63,1.64,1.64
25.39,-3.63,-5.27,-3.64,-5.27,5.28,5.28,1.65,1.64,1.64
25.65,-3.63,-5.27,-3.62,-5.26,5.25,5.25,1.62,1.63,1.64
25.91,-3.59,-5.22,-3.60,-5.23,5.23,5.23,1.64,1.63,1.63
26.16,-3.59,-5.22,-3.58,-5.21,5.21,5.21,1.62,1.63,1.63
26.43,-3.54,-5.17,-3.56,-5.18,5.19,5.18,1.64,1.63,1.63
26.69,-3.54,-5.17,-3.54,-5.16,5.16,5.16,1.62,1.62,1.63
26.96,-3.52,-5.15,-3.52,-5.14,5.14,5.13,1.61,1.62,1.63
27.23,-3.49,-5.11,-3.50,-5.12,5.11,5.11,1.62,1.61,1.62
27.50,-3.48,-5.10,-3.48,-5.09,5.08,5.08,1.60,1.61,1.62
27.77,-3.45,-5.06,-3.45,-5.06,5.06,5.06,1.61,1.61,1.61
28.05,-3.42,-5.03,-3.43,-5.03,5.03,5.03,1.61,1.60,1.61
28.33,-3.40,-5.00,-3.40,-5.00,5.00,5.00,1.60,1.60,1.60
28.62,-3.36,-4.96,-3.37,-4.97,4.97,4.97,1.61,1.60,1.60
28.90,-3.35,-4.95,-3.35,-4.94,4.94,4.95,1.59,1.59,1.60
29.19,-3.32,-4.91,-3.32,-4.91,4.91,4.92,1.59,1.59,1.59
29.48,-3.31,-4.90,-3.30,-4.89,4.88,4.89,1.57,1.58,1.59
