frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-10.18,-11.84,-10.18,-11.84,11.84,11.80,1.66,1.66,1.66
20.20,-10.13,-11.80,-10.13,-11.80,11.83,11.79,1.70,1.70,1.67
20.40,-10.09,-11.84,-10.09,-11.84,11.82,11.78,1.73,1.73,1.75
20.61,-9.98,-11.79,-9.98,-11.79,11.80,11.76,1.82,1.82,1.81
20.81,-9.91,-11.80,-9.91,-11.80,11.77,11.74,1.86,1.86,1.89
21.02,-9.81,-11.73,-9.81,-11.73,11.74,11.70,1.93,1.93,1.92
21.23,-9.74,-11.69,-9.74,-11.69,11.70,11.67,1.96,1.96,1.95
21.44,-9.64,-11.63,-9.64,-11.63,11.65,11.63,2.01,2.01,1.99
21.66,-9.57,-11.60,-9.57,-11.60,11.59,11.59,2.02,2.02,2.03
21.87,-9.46,-11.52,-9.46,-11.52,11.52,11.54,2.06,2.06,2.06
22.09,-9.36,-11.44,-9.36,-11.44,11.44,11.50,2.09,2.09,2.08
22.31,-9.27,-11.39,-9.27,-11.39,11.37,11.44,2.10,2.10,2.12
22.54,-9.16,-11.29,-9.16,-11.29,11.29,11.38,2.13,2.13,2.12
22.76,-9.05,-11.21,-9.05,-11.21,11.21,11.32,2.16,2.16,2.16
22.99,-8.94,-11.10,-8.94,-11.10,11.13,11.26,2.19,2.19,2.16
23.22,-8.85,-11.06,-8.85,-11.06,11.06,11.19,2.21,2.21,2.21
23.45,-8.75,-10.96,-8.75,-10.96,10.99,11.13,2.24,2.24,2.21
23.69,-8.67,-10.92,-8.67,-10.92,10.93,11.06,2.26,2.26,2.25
23.92,-8.60,-10.89,-8.60,-10.89,10.88,10.98,2.28,2.28,2.29
24.16,-8.52,-10.81,-8.52,-10.81,10.84,10.91,2.32,2.32,2.29
24.40,-8.44,-10.78,-8.44,-10.78,10.80,10.84,2.36,2.36,2.34
24.65,-8.39,-10.76,-8.39,-10.76,10.77,10.77,2.37,2.37,2.37
24.89,-8.31,-10.74,-8.31,-10.74,10.73,10.69,2.42,2.42,2.43
25.14,-8.23,-10.69,-8.23,-10.69,10.68,10.62,2.45,2.45,2.46
25.39,-8.16,-10.65,-8.16,-10.65,10.63,10.54,2.47,2.47,2.49
25.65,-8.10,-10.61,-8.10,-10.61,10.58,10.47,2.48,2.48,2.51
25.91,-8.00,-10.52,-8.00,-10.52,10.51,10.39,2.51,2.51,2.51
26.16,-7.93,-10.44,-7.93,-10.44,10.45,10.32,2.52,2.52,2.51
26.43,-7.84,-10.35,-7.84,-10.35,10.37,10.25,2.53,2.53,2.51
26.69,-7.76,-10.27,-7.76,-10.27,10.29,10.17,2.53,2.53,2.51
26.96,-7.69,-10.20,-7.69,-10.20,10.22,10.10,2.52,2.52,2.51
27.23,-7.61,-10.14,-7.61,-10.14,10.14,10.03,2.53,2.53,2.53
27.50,-7.52,-10.07,-7.52,-10.07,10.06,9.96,2.54,2.54,2.55
27.77,-7.45,-10.00,-7.45,-10.00,9.99,9.89,2.54,2.54,2.55
