frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-8.11,-12.00,-8.13,-12.02,12.06,11.82,3.95,3.93,3.89
20.20,-8.08,-11.95,-8.06,-11.93,11.93,11.71,3.85,3.87,3.87
20.40,-7.98,-11.82,-7.98,-11.82,11.80,11.60,3.81,3.82,3.84
20.61,-7.88,-11.71,-7.88,-11.70,11.66,11.48,3.78,3.79,3.82
20.81,-7.73,-11.53,-7.75,-11.55,11.53,11.37,3.80,3.78,3.80
21.02,-7.62,-11.40,-7.62,-11.40,11.39,11.25,3.77,3.77,3.78
21.23,-7.48,-11.25,-7.49,-11.25,11.25,11.14,3.77,3.77,3.76
21.44,-7.37,-11.11,-7.37,-11.10,11.11,11.02,3.74,3.75,3.73
21.66,-7.23,-10.95,-7.24,-10.95,10.96,10.90,3.73,3.72,3.72
21.87,-7.12,-10.81,-7.12,-10.81,10.81,10.78,3.69,3.69,3.69
22.09,-6.99,-10.66,-6.99,-10.67,10.67,10.66,3.67,3.67,3.67
22.31,-6.87,-10.53,-6.87,-10.52,10.52,10.54,3.65,3.65,3.65
22.54,-6.75,-10.38,-6.75,-10.38,10.38,10.41,3.63,3.63,3.63
22.76,-6.62,-10.23,-6.62,-10.23,10.24,10.29,3.62,3.62,3.61
22.99,-6.50,-10.10,-6.50,-10.09,10.10,10.16,3.60,3.60,3.59
23.22,-6.37,-9.95,-6.38,-9.96,9.96,10.04,3.59,3.57,3.58
23.45,-6.27,-9.83,-6.27,-9.82,9.82,9.91,3.55,3.55,3.56
23.69,-6.16,-9.70,-6.15,-9.69,9.68,9.78,3.51,3.52,3.53
23.92,-6.02,-9.53,-6.03,-9.54,9.53,9.65,3.51,3.50,3.51
24.16,-5.90,-9.40,-5.90,-9.40,9.39,9.51,3.49,3.49,3.49
24.40,-5.77,-9.25,-5.77,-9.25,9.25,9.38,3.48,3.48,3.48
24.65,-5.65,-9.11,-5.65,-9.11,9.12,9.25,3.46,3.47,3.46
24.89,-5.52,-8.96,-5.53,-8.97,8.98,9.11,3.46,3.45,3.44
25.14,-5.41,-8.84,-5.41,-8.84,8.85,8.98,3.43,3.44,3.42
25.39,-5.30,-8.72,-5.30,-8.71,8.72,8.84,3.42,3.42,3.42
25.65,-5.17,-8.58,-5.18,-8.59,8.59,8.70,3.41,3.41,3.41
25.91,-5.07,-8.48,-5.07,-8.47,8.46,8.56,3.39,3.40,3.40
26.16,-4.94,-8.34,-4.94,-8.34,8.34,8.42,3.40,3.40,3.39
26.43,-4.82,-8.21,-4.82,-8.21,8.21,8.28,3.38,3.39,3.39
26.69,-4.69,-8.07,-4.70,-8.08,8.08,8.14,3.39,3.37,3.38
26.96,-4.59,-7.97,-4.59,-7.95,7.94,8.00,3.35,3.36,3.37
27.23,-4.47,-7.82,-4.47,-7.81,7.80,7.86,3.33,3.34,3.34
27.50,-4.34,-7.66,-4.35,-7.67,7.66,7.71,3.32,3.31,3.32
27.77,-4.23,-7.52,-4.23,-7.52,7.52,7.57,3.29,3.29,3.29
28.05,-4.11,-7.37,-4.11,-7.37,7.37,7.43,3.26,3.26,3.26
28.33,-3.99,-7.22,-4.00,-7.23,7.23,7.28,3.24,3.24,3.23
28.62,-3.88,-7.09,-3.88,-7.08,7.09,7.14,3.21,3.21,3.20
28.90,-3.76,-6.94,-3.76,-6.94,6.95,6.99,3.19,3.19,3.18
29.19,-3.65,-6.81,-3.65,-6.81,6.82,6.84,3.16,3.17,3.16
29.48,-3.53,-6.67,-3.54,-6.68,6.68,6.70,3.15,3.14,3.14
29.78,-3.43,-6.57,-3.43,-6.56,6.56,6.55,3.12,3.13,3.13
30.08,-3.32,-6.44,-3.32,-6.43,6.43,6.41,3.10,3.11,3.11
30.38,-3.19,-6.29,-3.20,-6.30,6.30,6.26,3.10,3.10,3.10
30.68,-3.08,-6.16,-3.09,-6.17,6.16,6.12,3.08,3.08,3.08
30.99,-2.97,-6.04,-2.98,-6.03,6.03,5.97,3.06,3.06,3.06
31.30,-2.87,-5.91,-2.87,-5.90,5.90,5.83,3.02,3.03,3.03
31.61,-2.75,-5.76,-2.75,-5.76,5.76,5.68,3.00,3.00,3.00
31.93,-2.63,-5.61,-2.64,-5.61,5.62,5.54,2.98,2.98,2.98
32.24,-2.52,-5.47,-2.52,-5.47,5.47,5.40,2.95,2.95,2.95
32.57,-2.41,-5.32,-2.42,-5.33,5.33,5.26,2.91,2.91,2.91
32.89,-2.31,-5.18,-2.32,-5.19,5.18,5.12,2.87,2.86,2.87
33.22,-2.21,-5.05,-2.21,-5.04,5.03,4.98,2.82,2.82,2.83
33.55,-2.10,-4.90,-2.09,-4.89,4.88,4.84,2.78,2.79,2.79
33.89,-1.96,-4.73,-1.98,-4.74,4.74,4.71,2.78,2.77,2.77
34.23,-1.86,-4.59,-1.86,-4.59,4.60,4.58,2.74,2.74,2.73
34.57,-1.75,-4.45,-1.75,-4.45,4.47,4.44,2.71,2.71,2.70
34.92,-1.65,-4.33,-1.65,-4.33,4.34,4.31,2.68,2.68,2.67
35.27,-1.55,-4.22,-1.55,-4.21,4.21,4.19,2.66,2.66,2.66
35.62,-1.44,-4.09,-1.45,-4.09,4.09,4.06,2.65,2.64,2.64
35.97,-1.34,-3.98,-1.34,-3.98,3.97,3.94,2.63,2.63,2.64
36.33,-1.24,-3.87,-1.24,-3.86,3.86,3.82,2.62,2.62,2.63
36.70,-1.13,-3.74,-1.14,-3.75,3.74,3.70,2.61,2.61,2.61
37.06,-1.03,-3.63,-1.03,-3.63,3.63,3.58,2.60,2.60,2.60
37.43,-0.93,-3.52,-0.93,-3.52,3.52,3.47,2.59,2.59,2.59
37.81,-0.82,-3.40,-0.83,-3.41,3.41,3.35,2.58,2.58,2.58
38.19,-0.72,-3.30,-0.72,-3.30,3.29,3.24,2.57,2.57,2.57
38.57,-0.62,-3.19,-0.62,-3.18,3.18,3.14,2.56,2.57,2.56
38.95,-0.51,-3.07,-0.52,-3.07,3.08,3.03,2.56,2.56,2.55
39.34,-0.41,-2.96,-0.42,-2.97,2.97,2.93,2.56,2.55,2.55
39.74,-0.33,-2.87,-0.32,-2.86,2.86,2.83,2.53,2.54,2.54
40.14,-0.23,-2.76,-0.23,-2.76,2.75,2.73,2.52,2.52,2.53
40.54,-0.12,-2.64,-0.14,-2.65,2.64,2.64,2.52,2.51,2.52
40.94,-0.04,-2.55,-0.04,-2.54,2.53,2.54,2.49,2.50,2.51
41.35,0.06,-2.43,0.06,-2.43,2.43,2.45,2.48,2.49,2.49
41.76,0.16,-2.31,0.16,-2.31,2.32,2.35,2.48,2.48,2.47
42.18,0.25,-2.20,0.25,-2.20,2.21,2.26,2.46,2.46,2.45
42.60,0.35,-2.09,0.34,-2.10,2.10,2.17,2.45,2.44,2.44
43.03,0.41,-2.01,0.42,-2.00,2.00,2.08,2.41,2.42,2.42
43.46,0.51,-1.89,0.50,-1.90,1.89,1.98,2.40,2.40,2.40
43.90,0.60,-1.79,0.59,-1.80,1.79,1.89,2.39,2.38,2.39
44.33,0.67,-1.70,0.68,-1.69,1.69,1.79,2.36,2.37,2.37
44.78,0.78,-1.58,0.77,-1.59,1.59,1.69,2.36,2.35,2.36
45.23,0.86,-1.48,0.86,-1.48,1.49,1.59,2.34,2.34,2.34
45.68,0.94,-1.39,0.94,-1.38,1.39,1.48,2.32,2.33,2.33
46.13,1.04,-1.27,1.03,-1.28,1.28,1.36,2.32,2.31,2.31
46.60,1.10,-1.20,1.11,-1.18,1.18,1.24,2.28,2.29,2.29
47.06,1.21,-1.07,1.19,-1.08,1.08,1.11,2.28,2.27,2.27
47.53,1.27,-0.97,1.27,-0.97,0.97,0.97,2.24,2.24,2.24
48.01,1.36,-0.86,1.35,-0.86,0.86,0.83,2.22,2.22,2.22
48.49,1.43,-0.76,1.43,-0.76,0.75,0.68,2.18,2.18,2.19
48.97,1.51,-0.64,1.51,-0.64,0.64,0.54,2.14,2.15,2.15
49.46,1.59,-0.52,1.58,-0.53,0.52,0.40,2.11,2.10,2.11
49.96,1.66,-0.41,1.66,-0.40,0.40,0.27,2.06,2.06,2.06
50.46,1.73,-0.29,1.73,-0.28,0.28,0.16,2.01,2.01,2.01
50.96,1.81,-0.15,1.80,-0.16,0.16,0.06,1.97,1.97,1.96
51.47,1.88,-0.05,1.88,-0.05,0.05,-0.01,1.92,1.92,1.93
51.99,1.95,0.06,1.95,0.06,-0.06,-0.08,1.88,1.88,1.88
