frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-8.11,-16.54,-8.13,-16.55,16.59,16.41,8.48,8.46,8.42
20.20,-8.08,-16.54,-8.06,-16.52,16.52,16.34,8.44,8.46,8.45
20.40,-7.98,-16.47,-7.98,-16.46,16.44,16.26,8.46,8.46,8.48
20.61,-7.88,-16.39,-7.88,-16.39,16.35,16.17,8.47,8.47,8.50
20.81,-7.73,-16.27,-7.75,-16.28,16.26,16.09,8.53,8.51,8.53
21.02,-7.62,-16.19,-7.62,-16.17,16.16,16.01,8.54,8.55,8.56
21.23,-7.48,-16.06,-7.49,-16.06,16.06,15.92,8.58,8.58,8.57
21.44,-7.37,-15.95,-7.37,-15.95,15.96,15.83,8.59,8.59,8.58
21.66,-7.23,-15.83,-7.24,-15.83,15.84,15.74,8.60,8.60,8.59
21.87,-7.12,-15.71,-7.12,-15.71,15.71,15.64,8.59,8.60,8.59
22.09,-6.99,-15.59,-6.99,-15.59,15.59,15.55,8.60,8.60,8.60
22.31,-6.87,-15.47,-6.87,-15.47,15.47,15.45,8.60,8.60,8.60
22.54,-6.75,-15.35,-6.75,-15.35,15.35,15.35,8.59,8.60,8.60
22.76,-6.62,-15.22,-6.62,-15.22,15.22,15.25,8.60,8.60,8.60
22.99,-6.50,-15.09,-6.50,-15.09,15.10,15.15,8.60,8.60,8.59
23.22,-6.37,-14.96,-6.38,-14.97,14.98,15.04,8.61,8.59,8.59
23.45,-6.27,-14.86,-6.27,-14.86,14.85,14.93,8.58,8.59,8.59
23.69,-6.16,-14.75,-6.15,-14.74,14.73,14.82,8.57,8.58,8.59
23.92,-6.02,-14.61,-6.03,-14.62,14.60,14.71,8.58,8.58,8.59
24.16,-5.90,-14.49,-5.90,-14.49,14.48,14.59,8.58,8.58,8.59
24.40,-5.77,-14.36,-5.77,-14.35,14.36,14.48,8.59,8.59,8.58
24.65,-5.65,-14.23,-5.65,-14.23,14.23,14.36,8.58,8.59,8.57
24.89,-5.52,-14.09,-5.53,-14.10,14.11,14.24,8.59,8.58,8.57
25.14,-5.41,-13.98,-5.41,-13.98,13.99,14.11,8.58,8.58,8.57
25.39,-5.30,-13.87,-5.30,-13.87,13.86,13.99,8.56,8.57,8.57
25.65,-5.17,-13.74,-5.18,-13.75,13.74,13.86,8.57,8.56,8.57
25.91,-5.07,-13.63,-5.07,-13.63,13.62,13.74,8.55,8.56,8.56
26.16,-4.94,-13.50,-4.94,-13.50,13.50,13.61,8.56,8.56,8.56
26.43,-4.82,-13.38,-4.82,-13.38,13.38,13.48,8.56,8.56,8.56
26.69,-4.69,-13.25,-4.70,-13.26,13.26,13.34,8.57,8.56,8.56
26.96,-4.59,-13.15,-4.59,-13.14,13.14,13.21,8.54,8.55,8.56
27.23,-4.47,-13.02,-4.47,-13.02,13.01,13.08,8.54,8.54,8.54
27.50,-4.34,-12.89,-4.35,-12.89,12.89,12.94,8.55,8.54,8.54
27.77,-4.23,-12.76,-4.23,-12.76,12.77,12.81,8.53,8.54,8.53
28.05,-4.11,-12.64,-4.11,-12.64,12.64,12.67,8.53,8.53,8.53
28.33,-3.99,-12.51,-4.00,-12.52,12.52,12.54,8.53,8.53,8.52
28.62,-3.88,-12.40,-3.88,-12.40,12.40,12.40,8.52,8.52,8.52
28.90,-3.76,-12.28,-3.76,-12.28,12.28,12.27,8.52,8.52,8.52
29.19,-3.65,-12.16,-3.65,-12.16,12.16,12.13,8.51,8.51,8.51
29.48,-3.53,-12.04,-3.54,-12.04,12.04,12.00,8.51,8.50,8.50
29.78,-3.43,-11.93,-3.43,-11.93,11.92,11.87,8.49,8.49,8.49
30.08,-3.32,-11.82,-3.32,-11.81,11.80,11.74,8.48,8.49,8.49
30.38,-3.19,-11.68,-3.20,-11.68,11.68,11.61,8.49,8.48,8.48
30.68,-3.08,-11.56,-3.09,-11.56,11.56,11.48,8.48,8.48,8.48
30.99,-2.97,-11.44,-2.98,-11.44,11.44,11.35,8.47,8.47,8.47
31.30,-2.87,-11.33,-2.87,-11.33,11.32,11.23,8.45,8.45,8.46
31.61,-2.75,-11.21,-2.75,-11.20,11.20,11.11,8.45,8.45,8.45
31.93,-2.63,-11.08,-2.64,-11.08,11.08,10.99,8.45,8.45,8.44
32.24,-2.52,-10.95,-2.52,-10.96,10.96,10.87,8.44,8.44,8.43
32.57,-2.41,-10.84,-2.42,-10.84,10.84,10.75,8.43,8.43,8.43
32.89,-2.31,-10.73,-2.32,-10.73,10.72,10.64,8.41,8.41,8.42
33.22,-2.21,-10.62,-2.21,-10.61,10.60,10.52,8.39,8.40,8.40
33.55,-2.10,-10.50,-2.09,-10.49,10.48,10.41,8.38,8.39,8.40
