frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-17.39,-24.80,-17.41,-24.82,24.86,24.54,7.47,7.45,7.41
20.20,-17.34,-24.78,-17.32,-24.76,24.76,24.51,7.42,7.44,7.44
20.40,-17.22,-24.69,-17.21,-24.68,24.66,24.49,7.44,7.45,7.47
20.61,-17.09,-24.58,-17.10,-24.59,24.56,24.44,7.47,7.47,7.49
20.81,-16.96,-24.48,-16.95,-24.47,24.46,24.39,7.50,7.50,7.52
21.02,-16.80,-24.35,-16.81,-24.35,24.34,24.32,7.54,7.53,7.55
21.23,-16.67,-24.23,-16.67,-24.23,24.23,24.24,7.56,7.56,7.56
21.44,-16.54,-24.11,-16.53,-24.11,24.11,24.15,7.57,7.58,7.57
21.66,-16.40,-23.98,-16.39,-23.97,23.98,24.06,7.58,7.58,7.58
21.87,-16.25,-23.83,-16.26,-23.84,23.84,23.96,7.60,7.59,7.58
22.09,-16.11,-23.70,-16.12,-23.71,23.71,23.85,7.60,7.59,7.59
22.31,-16.00,-23.59,-15.99,-23.58,23.58,23.74,7.58,7.59,7.59
22.54,-15.86,-23.45,-15.86,-23.45,23.44,23.62,7.58,7.58,7.59
22.76,-15.72,-23.31,-15.73,-23.31,23.31,23.49,7.59,7.58,7.59
22.99,-15.60,-23.18,-15.59,-23.17,23.18,23.36,7.58,7.58,7.58
23.22,-15.46,-23.04,-15.47,-23.04,23.05,23.23,7.58,7.58,7.58
23.45,-15.34,-22.92,-15.34,-22.91,22.92,23.10,7.58,7.58,7.58
23.69,-15.21,-22.79,-15.21,-22.79,22.79,22.97,7.58,7.58,7.58
23.92,-15.09,-22.66,-15.09,-22.66,22.66,22.83,7.57,7.58,7.57
24.16,-14.96,-22.53,-14.96,-22.54,22.54,22.69,7.58,7.58,7.57
24.40,-14.85,-22.42,-14.85,-22.42,22.42,22.56,7.57,7.58,7.57
24.65,-14.73,-22.29,-14.74,-22.30,22.30,22.42,7.57,7.57,7.56
24.89,-14.63,-22.19,-14.63,-22.19,22.19,22.29,7.56,7.56,7.56
25.14,-14.53,-22.09,-14.52,-22.08,22.07,22.15,7.54,7.55,7.56
25.39,-14.40,-21.96,-14.40,-21.96,21.96,22.02,7.56,7.56,7.56
25.65,-14.28,-21.84,-14.29,-21.84,21.85,21.89,7.57,7.56,7.56
25.91,-14.17,-21.72,-14.17,-21.73,21.74,21.76,7.56,7.56,7.55
26.16,-14.07,-21.62,-14.07,-21.62,21.63,21.63,7.56,7.56,7.55
26.43,-13.97,-21.52,-13.97,-21.52,21.52,21.50,7.55,7.55,7.55
26.69,-13.87,-21.42,-13.87,-21.42,21.41,21.37,7.54,7.54,7.55
26.96,-13.76,-21.31,-13.77,-21.31,21.30,21.25,7.54,7.54,7.55
27.23,-13.66,-21.20,-13.66,-21.20,21.20,21.13,7.53,7.53,7.54
27.50,-13.56,-21.10,-13.56,-21.09,21.09,21.00,7.53,7.53,7.54
27.77,-13.45,-20.97,-13.45,-20.98,20.98,20.89,7.53,7.53,7.52
28.05,-13.35,-20.87,-13.35,-20.87,20.87,20.77,7.52,7.52,7.52
28.33,-13.25,-20.76,-13.25,-20.76,20.77,20.65,7.52,7.52,7.51
28.62,-13.14,-20.65,-13.15,-20.66,20.66,20.53,7.52,7.51,7.51
28.90,-13.04,-20.55,-13.04,-20.55,20.55,20.42,7.51,7.51,7.51
29.19,-12.94,-20.44,-12.94,-20.44,20.44,20.30,7.50,7.50,7.50
29.48,-12.83,-20.33,-12.84,-20.33,20.33,20.19,7.50,7.49,7.50
29.78,-12.73,-20.22,-12.73,-20.22,20.22,20.08,7.48,7.48,7.49
30.08,-12.63,-20.12,-12.62,-20.10,20.10,19.97,7.47,7.48,7.49
30.38,-12.50,-19.98,-12.51,-19.99,19.98,19.86,7.48,7.47,7.47
30.68,-12.38,-19.85,-12.39,-19.86,19.86,19.74,7.48,7.47,7.47
30.99,-12.28,-19.74,-12.27,-19.73,19.74,19.63,7.46,7.47,7.46
31.30,-12.15,-19.60,-12.16,-19.62,19.62,19.52,7.46,7.46,7.45
31.61,-12.05,-19.50,-12.04,-19.49,19.49,19.41,7.44,7.45,7.45
31.93,-11.92,-19.36,-11.93,-19.36,19.36,19.29,7.44,7.44,7.44
32.24,-11.80,-19.23,-11.80,-19.24,19.23,19.18,7.43,7.43,7.43
