frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-17.39,-20.99,-17.41,-21.01,21.04,20.90,3.65,3.64,3.60
20.20,-17.34,-20.97,-17.32,-20.95,20.95,20.85,3.61,3.63,3.63
20.40,-17.22,-20.88,-17.21,-20.87,20.85,20.80,3.63,3.64,3.66
20.61,-17.09,-20.77,-17.10,-20.78,20.75,20.72,3.66,3.65,3.68
20.81,-16.96,-20.67,-16.95,-20.66,20.64,20.65,3.69,3.69,3.71
21.02,-16.80,-20.54,-16.81,-20.54,20.53,20.55,3.73,3.72,3.74
21.23,-16.67,-20.42,-16.67,-20.43,20.42,20.46,3.75,3.75,3.75
21.44,-16.54,-20.30,-16.53,-20.30,20.30,20.34,3.76,3.77,3.76
21.66,-16.40,-20.17,-16.39,-20.16,20.17,20.23,3.77,3.77,3.77
21.87,-16.25,-20.02,-16.26,-20.03,20.04,20.10,3.79,3.78,3.77
22.09,-16.11,-19.89,-16.12,-19.90,19.90,19.98,3.79,3.78,3.78
22.31,-16.00,-19.78,-15.99,-19.77,19.77,19.85,3.77,3.78,3.78
22.54,-15.86,-19.64,-15.86,-19.64,19.63,19.72,3.77,3.77,3.78
22.76,-15.72,-19.50,-15.73,-19.51,19.50,19.58,3.78,3.77,3.78
22.99,-15.60,-19.37,-15.59,-19.37,19.37,19.45,3.77,3.78,3.77
23.22,-15.46,-19.23,-15.47,-19.24,19.24,19.31,3.78,3.77,3.77
23.45,-15.34,-19.11,-15.34,-19.11,19.11,19.18,3.77,3.77,3.77
23.69,-15.21,-18.98,-15.21,-18.98,18.98,19.04,3.77,3.77,3.77
23.92,-15.09,-18.86,-15.09,-18.86,18.86,18.91,3.77,3.77,3.77
24.16,-14.96,-18.73,-14.96,-18.73,18.74,18.78,3.78,3.77,3.77
24.40,-14.85,-18.62,-14.85,-18.61,18.62,18.65,3.77,3.77,3.77
24.65,-14.73,-18.49,-14.74,-18.50,18.50,18.52,3.77,3.76,3.76
24.89,-14.63,-18.39,-14.63,-18.39,18.38,18.40,3.76,3.75,3.76
25.14,-14.53,-18.29,-14.52,-18.28,18.27,18.28,3.74,3.75,3.76
25.39,-14.40,-18.16,-14.40,-18.16,18.16,18.15,3.76,3.75,3.76
25.65,-14.28,-18.04,-14.29,-18.04,18.05,18.03,3.76,3.76,3.76
25.91,-14.17,-17.92,-14.17,-17.93,17.94,17.91,3.76,3.76,3.75
26.16,-14.07,-17.82,-14.07,-17.82,17.83,17.80,3.76,3.76,3.75
26.43,-13.97,-17.72,-13.97,-17.72,17.72,17.68,3.75,3.75,3.75
26.69,-13.87,-17.62,-13.87,-17.62,17.61,17.57,3.74,3.74,3.75
26.96,-13.76,-17.51,-13.77,-17.51,17.51,17.46,3.74,3.74,3.75
27.23,-13.66,-17.40,-13.66,-17.40,17.40,17.35,3.74,3.74,3.74
27.50,-13.56,-17.30,-13.56,-17.30,17.29,17.23,3.73,3.74,3.74
27.77,-13.45,-17.18,-13.45,-17.19,17.19,17.12,3.74,3.73,3.73
28.05,-13.35,-17.08,-13.35,-17.08,17.08,17.01,3.73,3.73,3.73
28.33,-13.25,-16.97,-13.25,-16.97,16.97,16.91,3.72,3.73,3.72
28.62,-13.14,-16.86,-13.15,-16.87,16.87,16.80,3.72,3.72,3.72
28.90,-13.04,-16.76,-13.04,-16.76,16.76,16.69,3.72,3.72,3.72
29.19,-12.94,-16.65,-12.94,-16.65,16.65,16.58,3.71,3.71,3.71
29.48,-12.83,-16.54,-12.84,-16.54,16.54,16.47,3.71,3.70,3.71
29.78,-12.73,-16.43,-12.73,-16.43,16.43,16.36,3.70,3.70,3.70
30.08,-12.63,-16.33,-12.62,-16.32,16.31,16.25,3.68,3.69,3.70
