frequency,raw
20.00,-20.57
20.20,-19.98
20.40,-19.10
20.61,-18.91
20.81,-17.85
21.02,-17.54
21.23,-17.03
21.44,-16.60
21.66,-16.45
21.87,-15.89
22.09,-15.78
22.31,-15.61
22.54,-15.49
22.76,-15.32
22.99,-15.09
23.22,-14.86
23.45,-14.64
23.69,-14.46
23.92,-14.19
24.16,-14.04
24.40,-13.84
24.65,-13.72
24.89,-13.41
25.14,-13.31
25.39,-13.17
25.65,-13.07
25.91,-12.92
26.16,-12.72
26.43,-12.60
26.69,-12.39
26.96,-12.17
27.23,-11.93
27.50,-11.69
27.77,-11.31
28.05,-11.18
28.33,-10.95
28.62,-10.72
28.90,-10.49
29.19,-10.25
29.48,-10.03
29.78,-9.85
30.08,-9.67
30.38,-9.50
30.68,-9.33
30.99,-9.16
31.30,-8.98
31.61,-8.77
31.93,-8.57
32.24,-8.40
32.57,-8.28
32.89,-8.17
33.22,-8.05
33.55,-7.90
33.89,-7.75
34.23,-7.60
34.57,-7.45
34.92,-7.32
35.27,-7.20
35.62,-7.07
35.97,-6.93
36.33,-6.80
36.70,-6.66
37.06,-6.52
37.43,-6.42
37.81,-6.34
38.19,-6.26
38.57,-6.18
38.95,-6.10
39.34,-6.03
39.74,-5.96
40.14,-5.89
40.54,-5.82
40.94,-5.74
41.35,-5.57
41.76,-5.39
42.18,-5.23
42.60,-5.09
43.03,-4.98
43.46,-4.87
43.90,-4.76
44.33,-4.65
44.78,-4.54
45.23,-4.43
45.68,-4.33
46.13,-4.17
46.60,-4.00
47.06,-3.82
47.53,-3.70
48.01,-3.60
48.49,-3.50
48.97,-3.39
49.46,-3.29
49.96,-3.18
50.46,-3.07
50.96,-2.96
51.47,-2.86
51.99,-2.74
52.51,-2.63
53.03,-2.51
53.56,-2.40
54.10,-2.25
54.64,-2.09
55.18,-1.93
55.74,-1.82
56.29,-1.75
56.86,-1.68
57.42,-1.62
58.00,-1.55
58.58,-1.48
59.16,-1.42
59.76,-1.36
60.35,-1.30
60.96,-1.24
61.57,-1.18
62.18,-1.11
62.80,-1.04
63.43,-0.97
64.07,-0.90
64.71,-0.83
65.35,-0.74
66.01,-0.66
66.67,-0.57
67.33,-0.53
