frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-20.57,-27.21,-20.58,-27.23,25.02,19.42,4.45,4.44,6.65
20.20,-19.98,-26.62,-19.91,-26.56,24.73,19.40,4.75,4.82,6.65
20.40,-19.10,-25.74,-19.27,-25.91,24.44,19.38,5.35,5.18,6.65
20.61,-18.91,-25.56,-18.66,-25.30,24.17,19.36,5.26,5.51,6.65
20.81,-17.91,-24.56,-18.06,-24.71,23.90,19.34,5.99,5.84,6.65
21.02,-17.54,-24.18,-17.52,-24.16,23.64,19.32,6.11,6.13,6.64
21.23,-17.03,-23.67,-17.02,-23.67,23.39,19.30,6.37,6.37,6.64
21.44,-16.60,-23.24,-16.66,-23.31,23.15,19.28,6.56,6.49,6.64
21.66,-16.45,-23.09,-16.29,-22.93,22.92,19.26,6.47,6.63,6.64
21.87,-15.89,-22.53,-16.01,-22.65,22.70,19.23,6.81,6.69,6.64
22.09,-15.78,-22.42,-15.78,-22.42,22.48,19.21,6.71,6.70,6.64
22.31,-15.61,-22.25,-15.59,-22.23,22.28,19.18,6.67,6.69,6.64
22.54,-15.49,-22.13,-15.48,-22.12,22.07,19.15,6.58,6.59,6.64
22.76,-15.32,-21.95,-15.30,-21.93,21.88,19.12,6.56,6.58,6.64
22.99,-15.09,-21.72,-15.09,-21.73,21.68,19.10,6.59,6.59,6.64
23.22,-14.86,-21.49,-14.87,-21.51,21.49,19.06,6.63,6.61,6.64
23.45,-14.64,-21.27,-14.64,-21.28,21.29,19.03,6.65,6.65,6.64
23.69,-14.46,-21.09,-14.43,-21.06,21.08,19.00,6.62,6.65,6.63
23.92,-14.19,-20.82,-14.22,-20.85,20.87,18.96,6.68,6.65,6.63
24.16,-14.04,-20.67,-14.04,-20.67,20.66,18.92,6.63,6.62,6.63
24.40,-13.84,-20.47,-13.84,-20.47,20.47,18.88,6.63,6.63,6.63
24.65,-13.72,-20.35,-13.66,-20.29,20.29,18.84,6.57,6.63,6.63
24.89,-13.41,-20.03,-13.47,-20.09,20.12,18.80,6.72,6.66,6.63
25.14,-13.31,-19.93,-13.30,-19.93,19.97,18.75,6.66,6.66,6.63
25.39,-13.17,-19.79,-13.17,-19.79,19.82,18.70,6.65,6.65,6.63
25.65,-13.07,-19.69,-13.05,-19.67,19.67,18.65,6.60,6.62,6.62
25.91,-12.92,-19.54,-12.91,-19.53,19.51,18.59,6.59,6.61,6.62
26.16,-12.72,-19.34,-12.75,-19.37,19.35,18.53,6.63,6.59,6.62
26.43,-12.60,-19.22,-12.57,-19.19,19.17,18.47,6.57,6.59,6.62
26.69,-12.39,-19.00,-12.38,-19.00,18.97,18.40,6.58,6.58,6.62
26.96,-12.17,-18.78,-12.19,-18.80,18.75,18.33,6.58,6.57,6.62
27.23,-11.93,-18.54,-11.91,-18.53,18.52,18.25,6.59,6.61,6.61
27.50,-11.69,-18.30,-11.65,-18.26,18.28,18.17,6.59,6.63,6.61
27.77,-11.31,-17.92,-11.39,-18.00,18.04,18.09,6.73,6.65,6.61
28.05,-11.18,-17.78,-11.15,-17.76,17.79,17.99,6.61,6.64,6.61
28.33,-10.95,-17.55,-10.93,-17.53,17.54,17.89,6.59,6.61,6.61
28.62,-10.72,-17.32,-10.73,-17.33,17.30,17.79,6.58,6.57,6.60
28.90,-10.49,-17.09,-10.48,-17.08,17.07,17.67,6.59,6.59,6.60
29.19,-10.25,-16.85,-10.25,-16.85,16.86,17.55,6.61,6.61,6.60
29.48,-10.03,-16.62,-10.04,-16.63,16.66,17.41,6.63,6.62,6.60
29.78,-9.85,-16.44,-9.84,-16.44,16.46,17.27,6.61,6.62,6.59
30.08,-9.67,-16.26,-9.67,-16.26,16.27,17.10,6.60,6.60,6.59
30.38,-9.50,-16.09,-9.50,-16.09,16.08,16.94,6.58,6.58,6.59
30.68,-9.33,-15.91,-9.33,-15.92,15.89,16.75,6.56,6.55,6.59
30.99,-9.16,-15.74,-9.16,-15.74,15.70,16.56,6.54,6.55,6.58
31.30,-8.98,-15.56,-8.97,-15.55,15.53,16.34,6.55,6.56,6.58
31.61,-8.77,-15.34,-8.77,-15.34,15.35,16.12,6.59,6.59,6.58
31.93,-8.57,-15.14,-8.58,-15.15,15.19,15.88,6.62,6.61,6.57
32.24,-8.40,-14.97,-8.41,-14.98,15.02,15.63,6.63,6.61,6.57
32.57,-8.28,-14.84,-8.28,-14.84,14.86,15.37,6.59,6.59,6.57
32.89,-8.17,-14.73,-8.16,-14.72,14.71,15.10,6.55,6.55,6.56
33.22,-8.05,-14.61,-8.04,-14.60,14.57,14.83,6.52,6.53,6.56
33.55,-7.90,-14.45,-7.90,-14.45,14.43,14.56,6.53,6.53,6.56
33.89,-7.75,-14.30,-7.75,-14.30,14.29,14.31,6.54,6.54,6.55
34.23,-7.60,-14.14,-7.60,-14.14,14.15,14.07,6.55,6.56,6.55
34.57,-7.45,-13.99,-7.45,-14.00,14.01,13.87,6.57,6.56,6.54
34.92,-7.32,-13.86,-7.32,-13.86,13.87,13.69,6.55,6.55,6.54
35.27,-7.20,-13.73,-7.19,-13.73,13.72,13.56,6.52,6.53,6.53
35.62,-7.07,-13.60,-7.06,-13.59,13.58,13.45,6.51,6.51,6.53
35.97,-6.93,-13.45,-6.93,-13.45,13.44,13.38,6.51,6.50,6.52
36.33,-6.80,-13.31,-6.79,-13.31,13.30,13.33,6.51,6.51,6.52
36.70,-6.66,-13.17,-6.65,-13.16,13.18,13.29,6.52,6.52,6.51
37.06,-6.52,-13.02,-6.53,-13.03,13.06,13.26,6.54,6.53,6.51
37.43,-6.42,-12.92,-6.42,-12.92,12.94,13.23,6.53,6.52,6.50
37.81,-6.34,-12.83,-6.33,-12.83,12.84,13.19,6.50,6.50,6.50
38.19,-6.26,-12.75,-6.25,-12.74,12.74,13.13,6.49,6.49,6.49
38.57,-6.18,-12.66,-6.18,-12.66,12.66,13.06,6.48,6.48,6.48
38.95,-6.10,-12.57,-6.10,-12.57,12.59,12.95,6.49,6.49,6.48
39.34,-6.03,-12.49,-6.03,-12.49,12.51,12.82,6.48,6.48,6.47
39.74,-5.96,-12.42,-5.96,-12.42,12.43,12.67,6.47,6.47,6.46
40.14,-5.89,-12.34,-5.90,-12.35,12.33,12.50,6.44,6.43,6.45
40.54,-5.82,-12.26,-5.82,-12.27,12.22,12.31,6.40,6.40,6.45
40.94,-5.74,-12.17,-5.71,-12.15,12.10,12.11,6.36,6.39,6.44
41.35,-5.57,-12.00,-5.57,-11.99,11.96,11.91,6.40,6.40,6.43
41.76,-5.39,-11.81,-5.40,-11.82,11.82,11.72,6.44,6.43,6.42
42.18,-5.23,-11.64,-5.23,-11.64,11.68,11.54,6.45,6.45,6.41
42.60,-5.09,-11.49,-5.09,-11.49,11.53,11.37,6.45,6.44,6.40
43.03,-4.98,-11.37,-4.97,-11.37,11.39,11.24,6.42,6.42,6.39
43.46,-4.87,-11.25,-4.86,-11.25,11.26,11.13,6.39,6.39,6.38
43.90,-4.76,-11.13,-4.76,-11.13,11.13,11.05,6.37,6.37,6.37
44.33,-4.65,-11.01,-4.65,-11.01,11.00,10.98,6.36,6.36,6.36
