frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-20.57,-27.97,-20.59,-27.99,25.22,19.56,4.66,4.63,7.40
20.20,-19.98,-27.36,-19.90,-27.29,25.03,19.55,5.06,5.13,7.38
20.40,-19.10,-26.46,-19.25,-26.62,24.84,19.53,5.74,5.58,7.36
20.61,-18.91,-26.26,-18.64,-25.98,24.64,19.52,5.73,6.00,7.35
20.81,-17.84,-25.17,-18.04,-25.37,24.43,19.50,6.59,6.40,7.33
21.02,-17.54,-24.85,-17.50,-24.81,24.23,19.48,6.69,6.73,7.31
21.23,-17.03,-24.32,-17.01,-24.31,24.01,19.47,6.99,7.00,7.30
21.44,-16.60,-23.87,-16.67,-23.95,23.80,19.45,7.20,7.13,7.28
21.66,-16.45,-23.71,-16.29,-23.55,23.54,19.43,7.09,7.25,7.26
21.87,-15.89,-23.13,-16.01,-23.25,23.29,19.41,7.40,7.28,7.24
22.09,-15.78,-23.00,-15.78,-23.00,23.06,19.39,7.29,7.28,7.23
22.31,-15.61,-22.81,-15.59,-22.80,22.84,19.37,7.24,7.26,7.21
22.54,-15.49,-22.68,-15.48,-22.67,22.63,19.35,7.14,7.15,7.19
22.76,-15.32,-22.49,-15.30,-22.47,22.41,19.32,7.10,7.12,7.17
22.99,-15.09,-22.24,-15.09,-22.25,22.20,19.30,7.11,7.11,7.16
23.22,-14.86,-22.00,-14.87,-22.01,21.99,19.27,7.13,7.12,7.14
23.45,-14.64,-21.76,-14.64,-21.76,21.77,19.24,7.14,7.13,7.12
23.69,-14.46,-21.56,-14.43,-21.53,21.55,19.21,7.09,7.12,7.10
23.92,-14.19,-21.27,-14.22,-21.30,21.32,19.18,7.14,7.11,7.09
24.16,-14.04,-21.10,-14.04,-21.11,21.10,19.15,7.06,7.06,7.07
24.40,-13.84,-20.89,-13.84,-20.89,20.89,19.11,7.05,7.05,7.05
24.65,-13.72,-20.75,-13.66,-20.69,20.69,19.08,6.97,7.04,7.03
